10001 3
-7.580000000000000071e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.578000000000000291e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.575999999999999623e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.573999999999999844e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.572000000000000064e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.570000000000000284e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.567999999999999616e+00 3.000000000000000000e+00 9.500000000000000000e+00
-7.565999999999999837e+00 3.000000000000000000e+00 9.400000000000000355e+00
-7.564000000000000057e+00 3.000000000000000000e+00 9.400000000000000355e+00
-7.562000000000000277e+00 3.000000000000000000e+00 9.400000000000000355e+00
-7.559999999999999609e+00 3.000000000000000000e+00 9.400000000000000355e+00
-7.557999999999999829e+00 3.000000000000000000e+00 9.199999999999999289e+00
-7.556000000000000050e+00 3.000000000000000000e+00 9.199999999999999289e+00
-7.554000000000000270e+00 3.000000000000000000e+00 9.199999999999999289e+00
-7.551999999999999602e+00 3.000000000000000000e+00 9.199999999999999289e+00
-7.549999999999999822e+00 3.000000000000000000e+00 9.099999999999999645e+00
-7.548000000000000043e+00 3.000000000000000000e+00 9.099999999999999645e+00
-7.546000000000000263e+00 3.000000000000000000e+00 9.099999999999999645e+00
-7.543999999999999595e+00 3.000000000000000000e+00 9.000000000000000000e+00
-7.541999999999999815e+00 3.000000000000000000e+00 9.000000000000000000e+00
-7.540000000000000036e+00 3.000000000000000000e+00 8.900000000000000355e+00
-7.538000000000000256e+00 3.000000000000000000e+00 8.900000000000000355e+00
-7.535999999999999588e+00 3.000000000000000000e+00 8.900000000000000355e+00
-7.533999999999999808e+00 3.000000000000000000e+00 8.900000000000000355e+00
-7.532000000000000028e+00 3.000000000000000000e+00 8.800000000000000711e+00
-7.530000000000000249e+00 3.000000000000000000e+00 8.800000000000000711e+00
-7.527999999999999581e+00 3.000000000000000000e+00 8.800000000000000711e+00
